댓글,비방,차별,성적 수치심 유발,저주/협박,악성댓글
하지원이 그래도 팬들에게 보내는메시지네요 정신없었을텐데,0,0,0,0,0
기획사로서 당연한거아냐?,0,0,0,0,0
차태현은 의외로 자연스레 잘 어울리더라. 무도자리도 노홍철이 그립긴하지만 조세호가 그간 스쳐지나간 이들중 젤 어울림.,0,0,0,0,0
쓰레기방송 이젠 하다하다 옥살이냐?범죄가 장난이니? 살인 강도 강간 장난이니?,1,0,0,0,1
즉당히 하그라...,0,0,0,0,0
뒤집힌 것은 아니지............. 역시 유죄............,0,0,0,0,0
잡을때까지 활동을 하지마 무슨 민폐야,1,0,0,0,1
시즌1 피디가 아니니 내용이 개판 ㆍ노잼ㆍ어수선,1,0,0,0,1
청와대에서 평창올림픽 비트코린 밋먼지 묻힐려고... 설마 전정부가 했던짓 또할려나 ㅎㅎ,1,0,0,0,1
이야~ 김준호. 머리 좋아. ㅎㅎ,0,0,0,0,0
그냥 이혼해라 전부인도 진짜 겁나 질척되네 나같으면 드러워서 하것다 지도 결국 돈 더뜯으려고 버티는거잖어,1,0,0,0,1
이경규 없었으면 물예능 될뻔했다 진심..... 이경규한테 절이라도 해라.... 이태곤이랑 이경규가 멱살잡고 캐리하는거지 무슨 마닷 ......,1,0,0,0,1
서진님은 왜 항상 두손이 가벼우신지... 짐좀 들어주세요..,0,0,0,0,0
믹스나인 초반에 양현석 마이더스의 손인냥 졸라 연습생보다 더많이 쳐나오는거 거북해서 안보는데,1,0,0,0,1
그 강철기 전 와이프.. 오늘 그 현남편한테 연신 미안하다고 햇는데 먼가 잇을려나.. 아직까진 그닥 비중도 없는 역이라 굳이 그배우를 안쓰고 무명배우써도 되는데 그배우를 썻다는건 비중이 전혀 없는 역은 아니란건데.,0,0,0,0,0
진짜 월드스타는 방탄 뿐이다. 싸이는 원 히트 원더였고 비는 완전히 거품이였고 지드래곤은 빌보드 순위에도 못 드는데 방탄은 미국에서 이미 비틀즈랑 백스트리트 보이즈에 비견될 정도임,1,0,0,0,1
"타짜 시리즈는 흔하지 않게 남자 팬 비중이 높은 영화니까, 괜히 나갔다가 욕 처먹을까봐 안한다고 한거겠지ㅋㅋ 지 팬들 치맛바람에 숨어봐야, 연기력 실체 다 드러나고 남자들한테 안 그래도 안좋은 여론 더 안좋아질게 뻔하고",1,0,0,0,1
김신영은 여자 이수근..천재에 가까운거같다..빵빵터짐..더 흥하새오~~~,0,0,0,0,0
조금 지루해짐..예고도 안보고 돈꽃봤네요.. 황금도 재마나게 보고 있지만 저는 돈꽃의 그 소름과 긴장감이 더 쫄깃하고.. 올해 드라마 풍년이라 ㅎㅎ 진짜 드라마 막장만 보다 요즘 푹 빠져 사네요.. 주말에 집에 일찍 들어와 있다고 마눌이 이뻐하고 ㅋㅋ,0,0,0,0,0
이분 혹시 깜방생활에 나오셨던 분인가요,0,0,0,0,0
안알고싶다ㅡㅡ좀 문제있는애들은연애인하지마라ㅡㅡ,1,1,0,0,1
이민기랑 더 잘어울리던데..,0,0,0,0,0
신과함께 유치하고 cg 오글거리고 발연기에 신파까지 최악 유치하더라도 cg 좋고 재밌는 쥬만지가 훨 낫다 신과함께가 천만 넘으면 쥬만지도 천만 넘어야함 저딴 영화가 상영관 다 차지한다는게 존나 어이없네,1,0,0,0,1
화나요 수보니까 돈 못벌어오는 남편 때문에 심술난 맘충 아직 결혼못한 쿵쾅이 노처녀들 심술나서 화나요 클릭 많이했네 ㅋㅋㅋㅋ,1,1,0,0,1
낳을수 있는 조건 되는 사람들이라도 다산해주면 감사한일이지~^^,0,0,0,0,0
다른 회사는 입 쳐닫고 모르쇠로 일관하던데 빠르게 사과문 발표에다가 자진하차까지 했는데 다들 너무하네~~얘가 죽을죄를 지었나?약을 했나?? 아주 피라냐처럼 달려드는 꼬라지들 하고는!! ㅉㅉ,1,0,0,0,1
헐 템테이션이후로 역대급 센세이션을 일으킬 갓리수 언니 응원할게요 ㅠㅠ,0,0,0,0,0
낸시랭 파이팅 배알 꼻린 한녀충들 철컹철컹 잼ㅋㅋ,1,1,0,0,1
대단하다 하정우♥♥♥,0,0,0,0,0
도토리 키재기 하고 있네 월화극 노잼이라 전부 안본다,1,0,0,0,1
시즌1보다 못함ㅜ.ㅜ 배우들이 아깝다....,1,0,0,0,1
이팸 얘기좀.그만 나오면좋긋어너무 자기들끼리란 느낌. 젊은사람들끼리 재밌는거. 난 대부님 나와서 좋은말씀 해주실때 좋고 위트도 참 센스있고 젊은사람들이랑 교류하는모습도 좋았는데,0,0,0,0,0
돼지들이 환영받을땐 식량고갈 인육먹을때뿐이다,1,1,0,0,1
조영남 - 나를 출연시키면 두배는 올릴수있다...,0,0,0,0,0
초심으로 돌아가려면 스타되기전에 소중했던 사람들도 생각하면서 사세요..!,0,0,0,0,0
인터뷰 안스러워서 증말...,0,0,0,0,0
배우는 연기만 잘하면 된다,0,0,0,0,0
문재인정부가 뭘 덮으려고 이주연에 정소민까지 빵빵 터트리네요 하지만 깨시민들은 이런 저질스러운 연예인 돌려막기에 현혹되지 않습니다!!! 무한rt!!!!,1,1,0,0,1
여지껏 나혼자 산다에서 탑급으로 현실성 있는것같더만 제시간 출근 퇴근만 빼면 일반 시청자들과 같은것같음,0,0,0,0,0
일단 자막이 약 한사발 들이키고 만들더라 ㅋㅋ 도시어부 작가진도 자막 대박 ㅋㅋ 보싱와급 위치선정 같은자막보면 ㅋㅋㅋ반대급부로 무한도전 자막은 언제부턴가 너무 유~해진 느낌임 1박2일은 가재피디 다시대려와라,0,0,0,0,0
아무관계가 아닌게 아닌것 같은데 좋아한다해놓고 정식으로 사귀지만 않았지 아무관계는 아닌거 아닌가 썸 좀 타고 있습니다 해야지 대사가 멋은 없긴하네 ㅋ 나중에 그때는 아무관계아니였는데 지금은 아무관계입니다해야할듯,0,0,0,0,0
아~ 녜에~ 행쇼~,0,0,0,0,0
전화위복의 계기가 될 수 있다!! 그간의 관행과 악습을 고수하면서 지지부진한 작품을 내봤자 미래는 없다 아예 공백을 두고 그간의ㅈ문제를 철저하게 파헤치고 혁신적인 대책을 세워야햐다!!!,0,0,0,0,0
오늘 45%돌파 할꺼에요 신혜선 ♡박시후 화이팅!,0,0,0,0,0
장재인 음색이 너무 이쁘더라 활발한 활동 했음 좋겠어,0,0,0,0,0
한물간 드라마...,1,0,0,0,1
소라짱에 이어av스타 또 한명이 가는구나 잘가,0,0,0,0,0
근데 진짜 왜자꾸 북한애 방송에 나오는거냐;; 보기 나만 뷸편한가,0,1,0,0,1
앞으로 자살 하려거든 소문 내지 말고 혼자 조용히 죽어라 ok,1,0,0,1,1
일본 중국에 이런 이미지 잘없지,0,1,0,0,1
넘 기다렸어요. 오늘 추운데 멤버들 모두 촬영 잘하셈~막내야 힘내♡,0,0,0,0,0
이효리 집 벨 50번 넘게 눌렀는데 코빼기도 안보이길래 그날부터 탈덕했음... 되게 비싸게 굴더라... 얼굴 좀 보려고 했더니...,1,0,0,0,1
정해인 너무나도...빛이나는...한창때 천정명같은 멍뭉미가 있다 물론 더 깔끔하고 귀티남,0,0,0,0,0
이년들아 팬이면 오빠들이 정산은 잘 받고 있는지 좀 신경 좀 써라. 뼈빠지게 일만하고 마케팅비로 다 쏟아붓고 손에는 밥한끼 먹을돈도 없는데 그게 삶이냐..,1,0,0,0,1
선생님 서준이 부족하지만 많이 가르쳐주세요♡,0,0,0,0,0
버스운전 재미없었다.그만 두고싶단 생가도..,0,0,0,0,0
잼나게 잘봤어요 또 잘볼게요,0,0,0,0,0
애봉이로 한게 아니라 애봉이를 연기한 전소민으로 변신한듯...,0,0,0,0,0
와우 누나들 피지컬 굿잡,0,0,0,0,0
짱깨 여자 겨드랑이에서 고수 내새 난다,1,1,0,0,1
아이 낳은 본인이 힘들었다는데 그런거 말하는것도 이제 눈치보고 말해야하고 눈치보고 울어야하는 세상이 옴. 프로불편러들 때문에 저 사람은 더 아플것 같음.. 뭐든 당사자가 아니면 말 함부로 하는거 아니에요..,0,0,0,0,0
한가지라도 좀 잘합시다. 부부 둘이서 손 잡고 연기학원 좀 다니길~,1,0,0,0,1
ㅋㅋ ㄹㅇ 멍청한 개돼지네티즌들아;; 하긴너희가 대학원을다녀봤어야알지 대학교면 부정이고 아웃될일이다만 대학원은 이런일 비일비재해 줫같고 철칙이아닌건맞다만 헬조선이그래요..국가를탓해라,1,1,0,0,1
기안84도 이제 연예인 다되어가구있구나 보기좋다,0,0,0,0,0
테디도 메갈들의 공격을 받는구나 한예슬로 까네 ㅋㅋ,0,1,0,0,1
KBS 주말극은 저기서 20%는 빼야지. 할매 할배들이 무조건 틀어놓는 시간대라 기본 20% 나오는 시간대.,0,0,0,0,0
내가미쳤나 요즘 조세호가 너무 귀여워보여,0,0,0,0,0
경리로 순간 잘못봤음 ㅋㅋ,0,0,0,0,0
요리로 뽕뽑고 쉐프로 뽕뽑고 외국인도 이제 끝났잖아.... 그래도 수근이형이니깐 지켜보께요,0,0,0,0,0
"우리나라 시상식도 스타가 아닌 대중성, 흥행성같은게 아닌 오로지 작품성과 실력만 봤음 좋겠다 흥행은 그 영화의 성과지 시상식과는 별개라고 생각함",0,0,0,0,0
참 이쁘다~ 저렇게 이쁘기도 힘든데....누가 남편인지 부럽다~,0,0,0,0,0
오마이걸 비밀정원 청하 롤러코스터많이 사랑해주세요 들어주시고요~,0,0,0,0,0
대장님대장님 거리는거 오글거려서 못봐주겠다ㅋ,1,0,0,0,1
원더걸스 그립다 ㅠ,0,0,0,0,0
아닙니다 당신은 천재에요,0,0,0,0,0
돈꽃보고 연기도 장혁에 밀리지않고 외모도 훈남이라 호감이었는데 결혼하셨구나.행복하세요.,0,0,0,0,0
킹재환본당~~~♡♡♡꿀잼~~~,0,0,0,0,0
이런 기사 좋아요 댓글 의견도 알 수있고 종종 써 주세요,0,0,0,0,0
송중기 진짜 동안인듯..,0,0,0,0,0
연기 인정하지만 극찬받을생각은 마라.외조모손에 팔려간 꽃다운 어린소녀들의 인생과 그 가족들을 생각하면...그리고 아직도 살아계신 혹은 숨어계신 생존 위안부할머니들을 생각하면...속죄하는 맘으로 겸손하게 그리고 열심히 연기해라,0,0,0,0,0
홍감독 부인이 돈 때문에 남편과 이혼을 거부했던게 아니잖냐? 홍감독을 존경하고 가장으로 집안을 지켜주기를 바랬던거지. 돈때문이었다면 둘다 헤어지는게 당연하고 돈때문이 아니었다면 남편을 위해서 보내줘라,0,0,0,0,0
여름나래학교처럼 다같이 해서 나오시면 안되나요....?ㅠㅠㅠ,0,0,0,0,0
아 넘 귀여워 슈퍼맨 띵똥이까지 볼수있어서 좋다,0,0,0,0,0
남자 좋겟다 ㅅ ㅂ ...,1,0,0,0,1
강다니엘 사나 결혼했으면 좋겠다....,0,0,0,0,0
나왔다 메무새ㅋㅋㅋㅋㅋㅋㅋ 아주 세상모든것의 시초가 메갈이지 어휴!!!,1,1,0,0,1
니가 백인이면 예쁠낀데 연탄이라 사람들이 널 흉보는 듯 힘내라!,1,1,0,0,1
정해인 좋아ㅜㅠ 잘생겼어 진짜..,0,0,0,0,0
다산은 자랑거리 입니다.,0,0,0,0,0
ㅋㅋㅋ승기제자답다ㅋㅋㅋㅋㅋ,0,0,0,0,0
B급좀 쓰지마라 갓세영 추천한다,1,0,0,0,1
변희봉선생님 당연 나오겟죠?,0,0,0,0,0
되게 착하던데 ..,0,0,0,0,0
괜찮음 열심히 사랑해요이번년도도 좋은 노래 기대할게요,0,0,0,0,0
진우 때메봐야겠네..위너❤️,0,0,0,0,0
왜 울 엑소오빠들이 아님 ㅡㅡ?,0,0,0,0,0
이 방송하는 미친것들은허구한날러브라인 엮어댐 꼴도보기시러니들이 사귀든지 말든지관심 없어,1,0,0,0,1
이서진때문에 안보는데,1,0,0,0,1
나영석 이서진 조합 지겨움,1,0,0,0,1
쩌리들 아니야???,1,0,0,0,1
종현죽고 정 떨어져서 방탄으로 갈아타길 잘했어 BTS,1,0,0,0,1
돈보고 만나네 조심해라 통장 털린다,1,0,0,0,1
우진영 쥐같이생겻메,1,1,0,0,1
투니버스 어린이 드라마 급 퀼러티,1,1,0,0,1
헐 노잼. 슬감빵 뜨니 ......,1,0,0,0,1
1년후 극적으로 완쾌됫다고 나오겟지 여러분도 암걸리고 완쾌되서 군대 면제받아요^^ 이러겟지ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ캬캬캬캬캬키키키킼케케케케케케,1,0,0,0,1
Yg 약쟁이들은 출연 안 할라고 하겠네,1,0,0,0,1
"발성,발음,연기...역시 고현정...여배우 원탑인정",0,0,0,0,0
인성이 개차반이었건 모양이네..이러한 습성은 어른이 되면 시간이 지나도 안바뀐다..음주폭행으로서 고작 느낀게 연예인이기 때문에 조심해야겠다 는 결론이냐? 먼저 인간이 되야된다라는게 아니고..,1,0,0,0,1
폐경했겠네. 그래도 하겠지~ 매일,0,0,1,0,1
이걸 왜 티파니가 나서서 해명하고 사과까지 하는지 ㅜㅜ티파니 화이팅,0,0,0,0,0
안재현 백댄서ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,0,0,0
여자의 적은 뉴~~규~~?? ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,0,1,0,0,1
하앜하앜.. 다리좀봐.. 하앜,0,0,1,0,1
신은경씨 상복갈아입고 시어머니께 대사하는 장면 소름 무섭더라 사극에서 장희빈같은 역했음 독한역으로나오는 딱이였을...,0,0,0,0,0
이분 캐리 그만두고 애가 캐리를 안봄ㅋㅋ,0,0,0,0,0
"""필모씨 뚜연양^^♡두분의 만남은 필연적 만남이내요 축하합니다,필모씨 *이세를생각하셔서,술,담배 끊으시던,많이 줄여야 할겁니다,아가가 건강해야 하니까요^^~♡아셨죠!두분을 아끼는 마음으로 드리는 권면입니다'~♡♡♡♡♡~""",0,0,0,0,0
필연커플 신혼여행까지 보여주셔야죠~ 필연커플때문에 보고있는데 안나오면 안볼꺼예요!,0,0,0,0,0
이렇게 계속 검색어에 오르고 화두가 되는것부터가 크게 될 싹이 보이는거 아닌가? 솔직히 어딜가든 관심없는 가수들이 널리고 널렸는데... 최상은 청하도 테디한테와서 둘이 2인조 그룹하면좋겠다...,0,0,0,0,0
사람잡네.대단하다 다들,0,0,0,0,0
그러등가 말등가. 나 취업이나 시켜줘 겨울이 춥다.,0,0,0,0,0
어디서 떠들썩했는데??,0,0,0,0,0
5살이 멀알았겠냐.. 부모가 말해주지않는 이상은...에혀 부모가 잘못하신듯...,0,0,0,0,0
정말 그진심이 느껴집니다.백샘님은 사랑입니다.늘 마니배웁니다,0,0,0,0,0
"""ㅋㅋㅋㅋ 누가 누구랑 연애할던 말던 개 OOO새키들 지들이 꼰대짓 오지게하네 ㅈ나 불쌍한 새키들. 니네 부모나 등골 파먹지말고 자기 인생 책임져라. 나라 탓, 부모 탓만 할 줄 아는 새키들아""",1,1,0,0,1
자꾸 보컬실력 거리는 사람들이 있는데.. 요새 솔로 가수들 보면 노래실력 뛰어난 사람 거의없음 그냥 춤출때 라이브만 안정적으로 부르면 되고 혼자서 무대하면서 끼많고 매력많으면 된거임,0,0,0,0,0
어릴때 잘못한 행동들이 어떤결과를 낳는지 아이들이 보고 깨달았으면..,0,0,0,0,0
정신나간자식 ㅋㅋㅋㅋㅋㅋ 얻어맞고 뭐가 그리 잘나서 신고질까지... 모질이구나... 지가 잘못한건 생각안하고 그냥 몇대 더 쥐어터졋다고 여친을 신고하냐??? 참 너두 불쌍한 자식이다..먹고살기 힘드냐?,1,0,0,0,1
설마 방송에서 진짜로 무단이틸 했겠냐 ㅋㅋㅋ 다 짜고치는 거지..저래놓고 눈물흘리며 마음 다잡고 겁나 질하는것 처럼 포장해서 좋은점수 받겠지 ㅋㅋ,1,0,0,0,1
요썰고 저썰고 형님 축하드려요,0,0,0,0,0
고릴라가 버린이유가 있지...안되는애들은 안되는겨...이번 프듀 절반이 분량이랑 감정팔이인데...프로미스9꼬라지 예상한다,1,0,0,0,1
이 커플만 보면 시간 가는 줄 몰라 너무 재밌어요 살림남 다음주도 기대할게요~! 율희씨 분량 많이 챙겨주세요!!!! 너무 예뻐!!!!!,0,0,0,0,0
관종아니냐 저 정도면 참가로나오기는 가오죽고 심사로 나오자니 이끌성격도 깜냥도 안되고,1,1,0,0,1
어릴때 서세원만 닮은 두 남매 참 못난이었는데 성형을 했어도 참 멋지게 변했네요 더구나 미국에서 변호사라니..이혼할수도 있지 여러모로 똑똑한 여성인듯,0,0,0,0,0
"""친정갔나보네. 아내분 하와이 출신이잖어...시안이 임신했을때, 설아 포항본가에 맡겼던것도, 친정이 멀어서 그랬던것. 자기 아이 키우는데, 희생 헌신이 왜들어가는건지...""",0,0,0,0,0
치료잘하시고 꼭 완치되어서 좋은연기 보여주시길 바랍니다,0,0,0,0,0
이건 부동산하고 이삿짐센터가 같은 계열 회사라 홍보한다는거랑 같음.,0,0,0,0,0
나하텐 찰리푸드가 듣보인데,1,0,0,0,1
너무 마르셨다 맘고생 심했나봐 힘내세요ㅠ,0,0,0,0,0
아이즈원은 채연이가 리더할거 같음,0,0,0,0,0
싸가지없는 년 저년 당할줄 알았음ㅋㅋ내가 중국에서 기획사다닐때 저년 신인이었는데 그때만 생각하면 아오 싸가지ㅡ.ㅡ,1,0,0,0,1
다시 돌아가서 어쩌네 하지 말고 장승조랑 잘 되게 해주길~~~~,0,0,0,0,0
오늘 완전 꿀잼~영화다 영화~,0,0,0,0,0
안희;;;서비서를 왜 죽이냐고요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,0,0,0,0,0
잘나가는 미우새에 ㄱ ㅐ동민 뿌리기 ~pd야 ㄱ ㅐ동민 투입 할 생각은 꿈에도 하지마라,1,0,0,0,1
이분도 피해자인데.. 응원합니다,0,0,0,0,0
이건 뭐 쌍둥인줄...결혼하면 닮는다보다는 역시 닮은사람끼리 결혼하는게 맞구나,0,0,0,0,0
제왑도 놔주는 이유가 소미 얼굴이.좀 변했음 성숙해져서? 과즙미 아니고 약간 나이들게 변함,1,0,0,0,1
쉽팍 유명인 남편이면 최소한 기본 행실은 지켜야지. 이건 왠 폐가망신이야. 평소 술버릇이 그랬다면 ...더더욱 요번 사건에 강력한 처벌 원합니다. 완전 상습이네,0,0,0,0,0
댓글 수준하고는. 어휴 유이나 되니까 이상윤 강남만나지. 이상윤 차치하고 강남만 돼도 여기에 악플 싸지르는 수준낮은 애들은 인간으로도 안봄.,1,1,0,0,1
세상 이상한사람들 진짜 많고요~ 남이사 인스타에 애를올리건 말건 뭔상관? 개인계정사진 허락도 안받고 퍼와서 올리는 기레기년놈들 문제 아닌가?,1,1,0,0,1
암닭이울면 집안이 망한다,0,1,0,0,1
낸시랭 다음으로 소식 듣기싫은 인간들,1,0,0,0,1
역시 혜교. 짱! 내. 심장이 두근 두근 예쁘고 사랑스럽고 귀엽고 대박!!!!,0,0,0,0,0
도경수 연기 대박이여,0,0,0,0,0
꺄르르 이수지 행복하세요~~ 저 역시 그녀의 팬!! 흥하시길~,0,0,0,0,0
실장 그여자가 왠지 민채린 친엄마같은 느낌...이유리 연기 넘 잘한당,0,0,0,0,0
저 누나는 진짜 결혼하고 싶은 여자더라,0,0,0,0,0
박보검 이별연기에 내가 이별한듯 아프다 하루종일 힘들것 같은데 오늘은 해피엔딩 합시다,0,0,0,0,0
부모가 자식한테 무한애정인게 기사화 될일인가?,0,0,0,0,0
지아 엄마가 보살이네,0,0,0,0,0
세계적으로 일본의 만행이 알려지고 전세계 아미들이 우리나라의 독립역사를 궁금해하고있음,0,0,0,0,0
박해미씨는 공연은 공연이다. 스케줄은 그냥가라 그것도 예술인에 운명이다.,0,0,0,0,0
김병철 잘생김사진이닷 ㅡ콧대 ㅡ남자 ㅡ샤프함 ㅡ드라마마다 연기변신 ㅡ최고,0,0,0,0,0
2번째 사진여자분 이쁘신데 조권닮으심,0,0,0,0,0
이영자님꺼 아니였나...,0,0,0,0,0
재밌겠다. 방송 기대되네요.,0,0,0,0,0
저 남자들에게 대통령상 수상하자진짜 이건 국가에 큰일을 한거다국가유공자 지정하자,0,0,0,0,0
와 나는밴쯔먹방좋든데 맘에안들면안보면되지ㅋ왜댓글로태클들거시고가시나ㅡㅡㅂㅅㄷ,1,0,0,0,1
너무 늦게갔다 방송때문이면 좀 그렇다,0,0,0,0,0
이민기 방귀 냄새 독할거 같아,1,0,0,0,1
"""세남자 장면 너무 재미짐, 오늘도 역시 이병헌 열일. 로맨스. 응징. 분노. 슬픔. 미소. 행복한 순간. 배짱좋은 딜끼지. 연기 종합세트요. 구동매점점.귀여워지고 희성은 글쎄 흑화하기엔 너무.여리니.걱정 않겠소. 내일도.버라이어티 기대!""",0,0,0,0,0
와 오늘 한혜진 존예,0,0,0,0,0
지난주 대학등록금 때부터 울었는데 오늘 완전 터져버렸어요 지금 댓글들을 쭉 보며 또 눈물이 또르르 흐르네요 따뜻한 여성만나 결혼도 하셨음 좋겠어요~,0,0,0,0,0
요짜르고 요요.. 요를 짜르고,0,0,0,0,0
서준 서언 빨리 보고싶다,0,0,0,0,0
여기 40대 이상이 대다수인데 본인 아들이 탈많은 전시댁 가진 한참 연상 이혼녀랑 결혼한다면 질겁할거면서 ㅋㅋ 아주머니들 위선 쩐다,1,1,0,0,1
아 제발 연예인 기획사들아 낄끼빠빠 모르냐? 왜 더러운 사건에 물타기로 뜰라 그러냐.....,1,0,0,0,1
안현모 매력있더라 되게 센캐인줄 알았는데 말투도 애교있고 일단 존예임....,0,0,0,0,0
조덕제님 불쌍 ㅜ 힘내요,0,0,0,0,0
눈버렸음 슬금슬금 이미지 쇄신 쉽지않을걸,1,0,0,0,1
화사라서 어울리고 화사라서 멋지고 화사라서 밉지않고 화사라서 야하지도 않다,0,0,0,0,0
술 취한 사람이 성추행 한거 맞으면? 조심들해서 댓 쓰시길...ㅡㅡ,0,0,0,0,0
잘돌아 왔어요^^반가워요 선예씨^^,0,0,0,0,0
부모사기로 활동못하는건 연좌제 성격이 좀 있다 근데 부모말만듣고 명예훼손 운운한건 분명 피해자한테 상처가 됐을거고 근데 부모말 믿는게 또 잘못도 아니고.. 부모로 인해 자식만 상처받겠다 마닷자체는 성격좋은거 같은데,0,0,0,0,0
얘랑 조현영빼고 솔직히 다 별로였눈데 못뜰만,1,0,0,0,1
옛날 공부의신 드라마 생각난다. 그때보다 더 멋있어진듯~캬. 역시 유승호는 교복 입어줘야함ㅎㅎ,0,0,0,0,0
이혼하고나서 대륙이가 질척대니까 홍실이가 이태풍한테 그쪽좀 이용할게요 하믄서 대륙이 밀어낼거고.ㅎ 얘기대충 이끌다가 마지막에선 몇년후 하믄서 홍실이랑 대륙이가 우연히 만나게 되믄서 또 해피앤딩이것지ㅎ,0,0,0,0,0
택배송장 안붙은게 진짜 웃겼음 ㅋㅋ,0,0,0,0,0
저기여 너네 둘이 뚝섬 거리 빌런들 아니었음? 아니 빌런 눈엔 빌런만 보이나 ㅋㅋㅋ 모범적으로 나온집인 냉면집 버거집 포방터 돈까스 등 그런 집 보고 느끼는거 없어요? 너네가 그 모양이니까 방송이 그렇게 나간거지 누굴 탓해ㅋㅋㅋㅋ아 그냥 폐지해,1,0,0,0,1
남자가 인생 마지막 연애인것같이 생겼다,0,0,0,0,0
열심히 잘사니 보기좋아요. 주영훈씨 애아빠되니 더 열심히 사는것 같아 좋네요^^,0,0,0,0,0
아ㅋㅋ누군가했는데슬기로운감빵생활에서봤구나ㅋ축하해요^^,0,0,0,0,0
"""육덕지면 남자들이 환장함,,,대신 얼굴은 이뻐야한다는거 그리고 뚱뚱하면 안되다는거 ㅋㅋㅋㅋㅋ 딱적당한 육덕의조건을 갖추었기에 실검1위""",0,1,1,0,1
일상이랑 연기랑 구분도 못하냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅂㅅ중에 상ㅂㅅ이네,1,0,0,0,1
걍 전현무·박나래 빼고 다바꿔라 늘같은 리액션 사골 스토리 질린다,1,0,0,0,1
다야가 잘못한게 있나 다 사실만 말한건데 속인 도란이가 잘못이지,0,0,0,0,0
왜지? 둘다꼴보기싫은건 왜지?,1,0,0,0,1
여자가 진짜 아깝다,1,0,0,0,1
아 개짱나 이대은 그리 보는눈이 없냐,1,0,0,0,1
남경 폐지하고 승리 쟤도 재산 싹 다 몰수해라 예전에그럴때부터 알아봤다 ㅉㅉ,1,0,0,0,1
저게뭐냐아예벗지 뭔저런애가다있냐 생각좀하고살아라 부끄런줄좀알고,1,0,0,0,1
워낙 영자언니 팬이라 늘 매니저분도 같이 응원하고 있습니다. 힘내세요 ^^다음주 너무 기대되요♥♥,0,0,0,0,0
신혜선 넘 이쁘다요,0,0,0,0,0
나 군대생활때 취사분대장 민영원만 알음,0,0,0,0,0
난 좋았는데 다~착해지면 안돼가치관이 바뀔수있자나다 나빠져야되나?,0,0,0,0,0
손예진도 예전에 인터넷 악성댓글에 엄청 피해봤던듯...ㅠ 일케 길게 꾸준히 연기만 파는데,0,0,0,0,0
정말 예쁜 배우인데 안타깝네요ㅜㅜ,0,0,0,0,0
에픽하이 화이팅~~~YG 화이팅,0,0,0,0,0
감사한 너목보ㆍㆍ가수황치열 화이팅 대박나세요 ㆍ,0,0,0,0,0
이런 댓글에 신경쓰지 마시길 바래요,0,0,0,0,0
이건아니다. 자식이 뭔죄냐? 하여튼 고리타분한 나라. 지가 당해보지 그렇게 말하려나. 들OOO들,1,1,0,0,1
밀착감시 예의주시 지겹다ㅡㆍㅡ사람뒤를 저렇게 캐는게 정상인가,1,0,0,0,1
수영이 그리운거는 또 처음이네...,0,0,0,0,0
머리 너무 답답하다 깔끔하게 하면 더 이쁠거같은데,0,0,0,0,0
그만하라고 무슨 우주 대스타도 아니고 몇번이나 축하를 해주냐 머든 적당히 해라,1,0,0,0,1
응원합니다 송매니저님,0,0,0,0,0
남이야 나오든 말든 싫으면 안보면 그만 아무 관심없다. 자유민주주의 국가에서 제작진이 누굴 섭외하든 범죄자가 출연하든 다 그들 자유지. 꼭 악플달때는 표현의 자유라고 씨부리면서 왜 남 자유는 상관하나. 싫으면 보지마라 그러면 알아서 해결된다.,0,0,0,0,0
어제 좀 보다가 딴데로 돌리기는 했지만 화목해보이기는 하던데.... 일반인들은 현실에서 허덕이는데도 이런삶을 지향하는 사람들 참 많아보임... 여유롭게 애들키우면서 누구나 현실이 되었으면 하는게 바램이라면 바램이죠... ㅜㅜ,0,0,0,0,0
아슬 아슬 줄타기가 제일 어려운거임. 섹쉬와 싼티는 한끗 차이. 저 이너웨어가 팬티라인이 아니라 미니 스커트 일자 라인이었다면 이렇게 욕 안먹고 예뻣을 듯. 근데 그랬다면 여전히 듣보잡이었겠지. 성공했네.,1,0,1,0,1
성희롱은 기본이고 외모평가 댓글 너무 많네...에휴 창피하다 정말.. ;,0,0,0,0,0
차우찬버린듯이 버리게지 ㅡㅡ,1,0,0,0,1
진짜 기록이긴 한가 보네요 도시어부x 이런 자막도 넣고,0,0,0,0,0
차태현이고 규현이고 죄다 노잼이다. 레전드 신정환이 복귀해야 라스 전성기 다시 도래한다.,1,0,0,0,1
3개월뒤에 헤어진 남자친구보고 아이를 가졌다는 이성미가 더 의심스럽고 이상한 여자 같음........그 아이가 김학래의 아이라는 건 누가 알고...?이제서야 얘기하는 이성미는 뭐지...?이해안감,1,0,0,0,1
